,Place,Lat,Long
0,north-east,-21.0244816,27.5147504
1,banyas,35.1820319,35.9449068
2,havre,48.5536972,-109.677802
3,pacific,46.5334929,-123.768029
4,straits malacca,2.1863637000000002,102.26375458681633
6,malabar hill,18.9581616,72.8033665
7,yokohama san,37.4867084,-122.2272418
9,suez,29.974498,32.537086
10,rock island,41.4411786,-90.5766144
11,south-east,-24.9902332,25.726402352052464
13,regent street,51.5098444,-0.1362249
14,distress    he,37.2397485,131.8684607
15,asia,51.2086975,89.2343748
16,shanghai river,30.7789424,121.0731222
19,humboldt range,40.13182125,-124.12257627868264
20,platte river,40.9172365,-98.2332468
21,of  the north platte river,39.4070799,-105.2595699
22,east,3.9894393,14.178373
23,carson valley,39.1537973,-119.8829618
24,rocky mountains,43.3578532,-110.917506
26,west end,42.3639186,-71.0638993
27,indian ocean,-9.9999999,69.9999999
29,humboldt river,40.2240269,-118.4211615
30,northern,9.6600005,-0.3943799
31,weber river,41.1945417,-111.9911306
32,atlantic,39.5143268,-74.6632883
33,middle ages,43.0510806,-76.1615904
35,san pablo bay,38.04753245,-122.3827976428955
36,red sea,20.29654545,38.53429714399387
37,yokohama,35.4443947,139.6367727
38,dead sea,31.54096275,35.47858856865619
40,hudson,40.7381635,-74.0550731
43,fire island,40.6475997,-73.1459474
44,canton river,23.1118934,113.3255767
47,phileas fogg,37.9768783,23.7731777
48,harmonic,48.135501700000006,-1.620987260447923
49,docks  in,47.0954948,-52.9456758
50,cape good hope,-34.0519818,18.6542303
54,andaman islands,12.61123865,92.83165406414926
55,earth,34.2331373,-102.4107493
56,green river,41.5290933,-109.466473
57,mississippi,32.9715285,-89.7348497
60,humboldt mountains,-44.6702293,168.2244662
62,sun,22.331829,114.0285535386117
63,europe,51.0,10.0
64,strait bab-el-mandeb,12.574376350000001,43.31281581252398
65,bay bengal,-32.4679193,115.7478116
